id,evidence_inference_prompt_id,pmcid,outcome,intervention,comparator,outcome_type,intervention_events,intervention_group_size,comparator_events,comparator_group_size,intervention_mean,intervention_standard_deviation,comparator_mean,comparator_standard_deviation,notes,is_data_in_figure_graphics,is_relevant_data_in_table,is_table_in_graphic_format,is_data_complete,tiktoken_with_attributes_xml_token_num,tiktoken_without_attributes_xml_token_num,tiktoken_without_attributes_markdown_token_num,split
121,7938,4486927,"The SVR rates if the patients had IL-28B rs8099917 TT genotype, and GT/GG genotype",peginterferon (Peg-IFN) plus ribavirin (RBV) for 48 weeks,peginterferon (Peg-IFN) plus ribavirin (RBV) for 24 weeks,binary,17,23,2,24,,,,,"Even though the outcome says rate, the way that the results are reported in the table makes it easier to calculate as binary outcome.",FALSE,TRUE,FALSE,TRUE,14472,7883,5770,TEST
122,7936,4486927,The early virologic response (EVR),peginterferon (Peg-IFN) plus ribavirin (RBV) for 48 weeks,peginterferon (Peg-IFN) plus ribavirin (RBV) for 24 weeks,binary,86,94,82,93,,,,,,FALSE,TRUE,FALSE,TRUE,14472,7883,5770,TEST
123,7936,4486927,the end-of-treatment virologic response,peginterferon (Peg-IFN) plus ribavirin (RBV) for 48 weeks,peginterferon (Peg-IFN) plus ribavirin (RBV) for 24 weeks,binary,83,94,75,93,,,,,,FALSE,TRUE,FALSE,TRUE,14472,7883,5770,TEST
124,7937,4486927,The SVR rates when the patients had BMI >30 kg/m2,peginterferon (Peg-IFN) plus ribavirin (RBV) for 48 weeks,peginterferon (Peg-IFN) plus ribavirin (RBV) for 24 weeks,binary,10,19,6,12,,,,,"Even though the outcome says rate, the way that the results are reported in the table makes it easier to calculate as binary outcome.",FALSE,TRUE,FALSE,TRUE,14472,7883,5770,TEST
125,4926,4493951,The sedation score recorded in the postanesthesia care unit (PACU) over the 2-h observation period,and H2 (haloperidol 2 mg),H0 (saline),continuous,,50,,50,,,,,Data is in figure.,TRUE,FALSE,FALSE,FALSE,3932,3205,2434,TEST
126,4926,4493951,The sedation score recorded in the postanesthesia care unit (PACU) over the 2-h observation period,and H2 (haloperidol 2 mg),H1(haloperidol 1 mg),continuous,,50,,49,,,,,Data is in figure.,TRUE,FALSE,FALSE,FALSE,3932,3205,2434,TEST
127,4924,4493951,the incidence of postoperative nausea and vomiting (PONV),H1(haloperidol 1 mg),H0 (saline),binary,11,49,21,50,,,,,Used numbers from Late time (2–24 h),FALSE,TRUE,FALSE,TRUE,3932,3205,2434,TEST
128,4924,4493951,the incidence of postoperative nausea and vomiting (PONV),H2 (haloperidol 2 mg),H0 (saline),binary,10,50,21,50,,,,,Used numbers from Late time (2–24 h),FALSE,TRUE,FALSE,TRUE,3932,3205,2434,TEST
129,4927,4493951,The sedation score recorded in the postanesthesia care unit (PACU) over the 2-h observation period,H0 (saline),"H1(haloperidol 1 mg),",continuous,,50,,49,,,,,Data is in figure.,TRUE,FALSE,FALSE,FALSE,3932,3205,2434,TEST
130,4925,4493951,the incidence of postoperative nausea and vomiting (PONV),H1(haloperidol 1 mg),H2 (haloperidol 2 mg),binary,11,49,10,50,,,,,Used numbers from Late time (2–24 h),FALSE,TRUE,FALSE,TRUE,3932,3205,2434,TEST
131,2451,4574984,numbers overall complications,"intervention group, i.e. patient empowerment through information booklet and diary keeping","control group, which received standard care",binary,238,326,241,326,,,,,,FALSE,TRUE,FALSE,TRUE,12997,7944,5795,TEST
132,2452,4574984,level of postoperative pain,"intervention group, i.e. patient empowerment through information booklet and diary keeping","control group, which received standard care",binary,234,326,261,326,,,,,,FALSE,TRUE,FALSE,TRUE,12997,7944,5795,TEST
133,2453,4574984,overall mortality,"intervention group, i.e. patient empowerment through information booklet and diary keeping","control group, which received standard care",binary,45,326,58,326,,,,,Used numbers from 1 year after surgery (final timepoint) to get the full scope since the outcome is OVERALL mortality. This info is found in Figure 6 caption.,FALSE,FALSE,FALSE,TRUE,12997,7944,5795,TEST
134,2449,4574984,Health-Related Quality of Life at 12 month - females,"intervention group, i.e. patient empowerment through information booklet and diary keeping - females","control group, which received standard care - females",continuous,,110,,95,61.07,30.21,63.27,24.79,Group sizes was inferred using Table of characterisitics. Back calculated SD using CI.,FALSE,FALSE,FALSE,TRUE,12997,7944,5795,TEST
135,2450,4574984,Health-Related Quality of Life at 12 month - males,"intervention group, i.e. patient empowerment through information booklet and diary keeping - males","control group, which received standard care - males",continuous,,216,,231,72.49,23.66,71.71,27.1,Group sizes was inferred using Table of characterisitics. Back calculated SD using CI.,FALSE,FALSE,FALSE,TRUE,12997,7944,5795,TEST
136,2448,4574984,postoperative in-hospital stay,"intervention group, i.e. patient empowerment through information booklet and diary keeping","control group, which received standard care",continuous,,326,,326,,,,,Only median and interquartile range is given.,FALSE,FALSE,FALSE,FALSE,12997,7944,5795,TEST
137,1267,4709985,would have liked more information on acupuncture,tertiary education,other educations,binary,,121,,89,,,,,Specific numbers were not given.,FALSE,FALSE,FALSE,FALSE,3939,3288,2363,TEST
138,3101,4830045,Birth status,Patients in the 3h group,Patients in the 20h group,binary,32,74,22,60,,,,,Used numbers for live birth rate.,FALSE,TRUE,FALSE,TRUE,2530,2096,1505,TEST
139,3100,4830045,Embryo quality,Patients in the 3h group,Patients in the 20h group,binary,,74,,60,,,,,Unclear outcome measures.,FALSE,FALSE,FALSE,FALSE,2530,2096,1505,TEST
140,1275,4880652,SpO2 at 5 minutes,fentanyl (1 µg/kg) and propofol,paracetamol (20 mg/kg) and propofol,continuous,,76,,70,,,,,Mean in figure 5's graphics.,TRUE,FALSE,TRUE,FALSE,1406,1149,966,TEST
141,1272,4880652,the modified Aldrete scores at 60 minutes,fentanyl (1 µg/kg) and propofol,paracetamol (20 mg/kg) and propofol,continuous,,76,,70,,,,,Mean and SD are in table that is in graphic form.,FALSE,TRUE,TRUE,FALSE,1406,1149,966,TEST
142,1272,4880652,systolic pressures at 0 minutes,fentanyl (1 µg/kg) and propofol,paracetamol (20 mg/kg) and propofol,continuous,,76,,70,,,,,Mean in figure 3's graphics.,TRUE,FALSE,TRUE,FALSE,1406,1149,966,TEST
143,1272,4880652,"oxygen saturation at 10, 15, 20 minutes",fentanyl (1 µg/kg) and propofol,paracetamol (20 mg/kg) and propofol,continuous,,76,,70,,,,,Means in figure 5's graphics.,TRUE,FALSE,TRUE,FALSE,1406,1149,966,TEST
144,1272,4880652,"diastolic blood pressure at 10, 15, 20 minutes",fentanyl (1 µg/kg) and propofol,paracetamol (20 mg/kg) and propofol,continuous,,76,,70,,,,,Means in figure 4's graphics.,TRUE,FALSE,TRUE,FALSE,1406,1149,966,TEST
145,1272,4880652,heart rates,fentanyl (1 µg/kg) and propofol,paracetamol (20 mg/kg) and propofol,continuous,,76,,70,,,,,Means in figure 2's graphics.,TRUE,FALSE,TRUE,FALSE,1406,1149,966,TEST
146,1272,4880652,visual analogue scores,fentanyl (1 µg/kg) and propofol,paracetamol (20 mg/kg) and propofol,continuous,,76,,70,,,,,Mean and SD are in table that is in graphic form.,FALSE,TRUE,TRUE,FALSE,1406,1149,966,TEST
147,1273,4880652,"systolic blood pressures at 5, 10, 15, and 20 minutes",fentanyl (1 µg/kg) and propofol,paracetamol (20 mg/kg) and propofol,continuous,,76,,70,,,,,Means in figure 3's graphics.,TRUE,FALSE,TRUE,FALSE,1406,1149,966,TEST
148,1274,4880652,Diastolic blood pressures at 5 minutes,fentanyl (1 µg/kg) and propofol,paracetamol (20 mg/kg) and propofol,continuous,,76,,70,,,,,Mean in figure 4's graphics.,TRUE,FALSE,TRUE,FALSE,1406,1149,966,TEST
149,11146,4996097,"""a"" vowel improvement",Septoplasty,Control,continuous,,33,,30,138,,154,,Used F0 (Hz) values. SD is not given.,FALSE,TRUE,FALSE,FALSE,9291,4535,2976,TEST
150,11145,4996097,Total nasal resistance,Septoplasty,Control,continuous,,33,,30,0.25,,0.27,,Used preoperative values. SD is not given.,FALSE,TRUE,FALSE,FALSE,9291,4535,2976,TEST
151,11147,4996097,"""n"" consonant improvement",Septoplasty,Control,continuous,,33,,30,11897,,13229,,Used F0 (Hz) values. SD is not given.,FALSE,TRUE,FALSE,FALSE,9291,4535,2976,TEST
152,13479,5055753,The percentages of patients in the calm,0.2 mg oral clonidine,2 mg oral midazolam,binary,14,40,7,40,,,,,"Even though the outcome says percentage, the way that the results are reported in the table makes it easier to calculate as binary outcome.",FALSE,FALSE,FALSE,TRUE,3292,2470,2114,TEST
153,13479,5055753,The percentages of patients in the sedated scale,0.2 mg oral clonidine,2 mg oral midazolam,binary,17,40,7,40,,,,,"Even though the outcome says percentage, the way that the results are reported in the table makes it easier to calculate as binary outcome.",FALSE,FALSE,FALSE,TRUE,3292,2470,2114,TEST
154,13480,5055753,the percentages of patients in the agitated sedation scale,0.2 mg oral clonidine,2 mg oral midazolam,binary,,40,,40,,,,,,TRUE,FALSE,FALSE,FALSE,3292,2470,2114,TEST
155,13480,5055753,the percentages of patients in the heavily sedated,0.2 mg oral clonidine,2 mg oral midazolam,binary,,40,,40,,,,,,TRUE,FALSE,FALSE,FALSE,3292,2470,2114,TEST
156,13481,5055753,The mean ¬± SD of intraoperatively administered fentany,0.2 mg oral clonidine,2 mg oral midazolam,continuous,,40,,40,105,30.8,165,34.5,,FALSE,FALSE,FALSE,TRUE,3292,2470,2114,TEST
157,13482,5055753,Mean ± SD of heart rate,0.2 mg oral clonidine,2 mg oral midazolam,continuous,,40,,40,,,,,Info in figure graphics.,TRUE,FALSE,FALSE,FALSE,3292,2470,2114,TEST
158,7710,5056957,Weight reduction at 12 months,Multi-component physical activity,Usual PE and sport programmes,continuous,,592,,459,55.91,15.64,56.48,14.76,Back calculated the SD values from CI,FALSE,TRUE,FALSE,TRUE,11185,6045,4394,TEST
159,7710,5056957,BMI reduction at 12 months,Multi-component physical activity,Usual PE and sport programmes,continuous,,592,,459,21.07,6.39,21.27,5.9,Back calculated the SD values from CI,FALSE,TRUE,FALSE,TRUE,11185,6045,4394,TEST
160,7711,5056957,BMI z-score at 12months,Multi-component physical activity,Usual PE and sport programmes,continuous,,592,,459,0.61,1.8,0.66,1.69,Back calculated the SD values from CI,FALSE,TRUE,FALSE,TRUE,11185,6045,4394,TEST
161,7712,5056957,Weight reduction at 24 months,Multi-component physical activity,Usual PE and sport programmes,continuous,,560,,425,61.08,15.15,61.94,14.25,Back calculated the SD values from CI,FALSE,TRUE,FALSE,TRUE,11185,6045,4394,TEST
162,7712,5056957,BMI reduction at 24 months,Multi-component physical activity,Usual PE and sport programmes,continuous,,560,,425,21.86,6.22,22.06,5.68,Back calculated the SD values from CI,FALSE,TRUE,FALSE,TRUE,11185,6045,4394,TEST
163,7713,5056957,BMI z-score at 24 months,Multi-component physical activity,Usual PE and sport programmes,continuous,,560,,425,0.69,1.81,0.71,1.63,Back calculated the SD values from CI,FALSE,TRUE,FALSE,TRUE,11185,6045,4394,TEST
164,617,5062234,The visual analog scale scores at rest and on coughing,Transversus abdominis plane block with 0.375% ropivacaine,local anesthetic infiltration of the port site.,continuous,,21,,21,,,,,Data found in table in graphic format.,FALSE,TRUE,TRUE,FALSE,1345,1148,971,TEST
165,615,5062234,The 24 h morphine requirement,Transversus abdominis plane block with 0.375% ropivacaine,local anesthetic infiltration of the port site.,continuous,,21,,21,34.57,14.64,32.76,14.34,,FALSE,FALSE,TRUE,TRUE,1345,1148,971,TEST
166,616,5062234,intraoperative supplemental fentanyl,Transversus abdominis plane block with 0.375% ropivacaine,local anesthetic infiltration of the port site.,binary,8,21,16,21,,,,,,FALSE,FALSE,TRUE,TRUE,1345,1148,971,TEST
167,2797,5079604,Disposition index (DI),subjects who remained in remission,patients with hyperglycemia relapse without significant changes in insulin sensitivity (Si),continuous,,28,,20,,,,,Data is in figure.,TRUE,FALSE,FALSE,FALSE,12690,6902,4923,TEST
168,2797,5079604,incremental area under the curve for insulin (AUCi),subjects who remained in remission,patients with hyperglycemia relapse without significant changes in insulin sensitivity (Si),continuous,,28,,20,,,,,Data is in figure.,TRUE,FALSE,FALSE,FALSE,12690,6902,4923,TEST
169,2792,5079604,hyperglycemia relapse-free survival,"metformin 1,000 mg daily",sitagliptin 100 mg daily,continuous,,17,,16,,,,,Data is in figure.,TRUE,FALSE,FALSE,FALSE,12690,6902,4923,TEST
170,2795,5079604,Cox proportional hazards of failure-free survival,"metformin 1,000 mg daily",sitagliptin 100 mg daily,continuous,,17,,16,,,,,Data is in figure.,TRUE,FALSE,FALSE,FALSE,12690,6902,4923,TEST
171,2793,5079604,The restricted mean time to hyperglycemia relapse,"metformin 1,000 mg daily, sitagliptin 100 mg daily",placebo,continuous,,33,,15,480,,305,,SD is not given.,FALSE,FALSE,FALSE,FALSE,12690,6902,4923,TEST
172,2790,5079604,Hyperglycemia relapse-free survival,"metformin 1,000 mg daily, sitagliptin 100 mg daily",placebo,continuous,,33,,15,,,,,Data is in figure.,TRUE,FALSE,FALSE,FALSE,12690,6902,4923,TEST
173,2791,5079604,The 2-year failure rate,"metformin 1,000 mg daily, sitagliptin 100 mg daily",placebo,binary,13,33,12,15,,,,,Used percentage to calculate events as binary outcome.,TRUE,TRUE,FALSE,TRUE,12690,6902,4923,TEST
174,2796,5079604,The probability of relapse,"metformin 1,000 mg daily, sitagliptin 100 mg daily",placebo,binary,9,33,11,15,,,,,Used percentage to calculate events as binary outcome.,FALSE,FALSE,FALSE,TRUE,12690,6902,4923,TEST
175,10752,5086025,Intuitive eating total score,Intuitive Eating and Acceptance and Commitment Therapy,Control,continuous,,26,,26,3.45,0.55,2.54,0.58,Actually comparing preintervention and postintervention,FALSE,TRUE,FALSE,TRUE,29049,17627,13068,TEST
176,10753,5086025,Psychological flexibility,Intuitive Eating and Acceptance and Commitment Therapy,Control,continuous,,26,,26,18.23,8.14,22.46,8.67,Actually psychological inflexibility in the article,FALSE,TRUE,FALSE,TRUE,29049,17627,13068,TEST
177,10754,5086025,General mental health,Intuitive Eating and Acceptance and Commitment Therapy,Control,continuous,,26,,26,50.24,7.41,45.63,6.31,,FALSE,TRUE,FALSE,TRUE,29049,17627,13068,TEST
178,10755,5086025,Binge eating,Intuitive Eating and Acceptance and Commitment Therapy,Control,binary,7,26,14,26,,,,,,FALSE,FALSE,FALSE,TRUE,29049,17627,13068,TEST
179,10756,5086025,BMI,Intuitive Eating and Acceptance and Commitment Therapy,Control,continuous,,26,,26,32.81,5.31,32.93,4.85,,FALSE,TRUE,FALSE,TRUE,29049,17627,13068,TEST
180,10757,5086025,General physical health,Intuitive Eating and Acceptance and Commitment Therapy,Control,continuous,,26,,26,50.87,11.02,50.46,7.83,,FALSE,TRUE,FALSE,TRUE,29049,17627,13068,TEST
181,4339,5122613,Left SCTT,Digestion-resistant maltodextrin,Placebo,continuous,,29,,28,10.2,8.6,12.1,9.5,Had to do some simple math to get accurate group size.,FALSE,TRUE,FALSE,TRUE,6184,3742,2832,TEST
182,4340,5122613,Adverse events,Digestion-resistant maltodextrin,Placebo,binary,0,33,0,33,,,,,Based on abstract.,FALSE,FALSE,FALSE,TRUE,6184,3742,2832,TEST
183,4341,5122613,Baseline characteristics and diet,Digestion-resistant maltodextrin,Placebo,continuous,,33,,33,10,4.6,11.5,4.6,Mean daily fiber intake,FALSE,FALSE,FALSE,TRUE,6184,3742,2832,TEST
184,4337,5122613,Improvement in faeces consistency,Digestion-resistant maltodextrin,Placebo,continuous,,33,,33,3.4,1,3.2,0.5,,FALSE,TRUE,FALSE,TRUE,6184,3742,2832,TEST
185,4338,5122613,Colonic transit time,Digestion-resistant maltodextrin,Placebo,continuous,,29,,28,39.7,22.3,48,25,,FALSE,TRUE,FALSE,TRUE,6184,3742,2832,TEST
186,13818,5244530,depression severity reduction,person-centred general practitioners (GP) consultations,treatment as usual (TAU),continuous,,125,,133,,,,,,TRUE,FALSE,FALSE,FALSE,6216,5516,4050,DEV
187,13818,5244530,remission rate,person-centred general practitioners (GP) consultations,treatment as usual (TAU),continuous,,125,,133,,,,,,FALSE,FALSE,FALSE,FALSE,6216,5516,4050,DEV
188,13818,5244530,change in quality of life,person-centred general practitioners (GP) consultations,treatment as usual (TAU),continuous,,125,,133,,,,,,TRUE,FALSE,FALSE,FALSE,6216,5516,4050,DEV
189,13818,5244530,psychological well-being,person-centred general practitioners (GP) consultations,treatment as usual (TAU),continuous,,125,,133,,,,,,TRUE,FALSE,FALSE,FALSE,6216,5516,4050,DEV
190,13818,5244530,sedative prescriptions,person-centred general practitioners (GP) consultations,treatment as usual (TAU),binary,52,125,51,133,,,,,Data from 12 months follow up (final timepoint),FALSE,TRUE,FALSE,TRUE,6216,5516,4050,DEV
191,13818,5244530,sick leave,person-centred general practitioners (GP) consultations,treatment as usual (TAU),binary,49,125,64,133,,,,,,FALSE,TRUE,FALSE,TRUE,6216,5516,4050,DEV
192,13819,5244530,continued antidepressants until the 6-month,person-centred general practitioners (GP) consultations,treatment as usual (TAU),binary,86,125,78,133,,,,,,FALSE,TRUE,FALSE,TRUE,6216,5516,4050,DEV
193,2094,5360580,Plasma PlsPE,1 mg/day of Pls purified from scallop,placebo,continuous,,138,,131,-0.59,1.11,-0.63,1.08,Data is from after 28 weeks (final timepoint). Back calculated the SD values using CI values.,FALSE,TRUE,FALSE,TRUE,11096,9099,6033,TEST
194,2095,5360580,occurrence of adverse events,1 mg/day of Pls purified from scallop,placebo,binary,39,169,35,167,,,,,,FALSE,TRUE,FALSE,TRUE,11096,9099,6033,TEST
195,2096,5360580,"WMS-R (30 min) In the patients aged 77 years or younger,",1 mg/day of Pls purified from scallop,placebo,continuous,,19,,21,1.84,3.87,0,0.96,Data is from 24 weeks (final timepoint). Back calculated the SD values using CI values.,FALSE,TRUE,FALSE,TRUE,11096,9099,6033,TEST
196,2097,5360580,WMS-R (0 min),1 mg/day of Pls purified from scallop,placebo,continuous,,24,,24,1.29,3.14,1.08,1.55,Data is from 28 weeks (final timepoint). Back calculated the SD values using CI values.,FALSE,TRUE,FALSE,TRUE,11096,9099,6033,TEST
197,7734,5380284,Pain scores 48 hours after the surgery,Gum-chewing group,No gum group,continuous,,38,,37,,,,,,FALSE,TRUE,TRUE,FALSE,1731,1429,1251,TEST
198,7735,5380284,Surgery duration,Gum-chewing group,No gum group,continuous,,38,,37,,,,,Data is unavailable.,FALSE,FALSE,TRUE,FALSE,1731,1429,1251,TEST
199,7736,5380284,Rates of POI,Gum-chewing group,No gum group,binary,,38,,37,,,,,,FALSE,TRUE,TRUE,FALSE,1731,1429,1251,TEST
200,7737,5380284,Consumption of fentanyl,Gum-chewing group,No gum group,continuous,,38,,37,,,,,,FALSE,TRUE,TRUE,FALSE,1731,1429,1251,TEST
201,7738,5380284,Pain scores 24 hours and 72 hours after the surgery,Gum-chewing group,No gum group,continuous,,38,,37,,,,,,FALSE,TRUE,TRUE,FALSE,1731,1429,1251,TEST
202,5498,5380326,Interferon gamma-induced protein 10,Vitamin D supplementation,Control,continuous,,40,,40,636.47,448.47,748.88,551,,FALSE,TRUE,FALSE,TRUE,10658,5810,4260,TEST
203,5496,5380326,Vitamin D levels,Vitamin D supplementation,Control,continuous,,40,,40,45.93,15.37,21.87,5.31,,FALSE,TRUE,FALSE,TRUE,10658,5810,4260,TEST
204,5497,5380326,Th1/Th2 cytokines,Vitamin D supplementation,Control,continuous,,40,,40,,,,,Unclear outcome numerical values in the RCT. Cannot clearly identify the actual metric or measure for the given outcome.,FALSE,FALSE,FALSE,FALSE,10658,5810,4260,TEST
205,5500,5380326,Interleukin 2,Vitamin D supplementation,Control,continuous,,40,,40,4.49,13.34,28.69,103.03,,FALSE,TRUE,FALSE,TRUE,10658,5810,4260,TEST
206,5499,5380326,Dipeptidyl peptidase-4,Vitamin D supplementation,Control,continuous,,40,,40,"6,032.37",1359.15,6408.33,1822.17,Table and text has conflicting numbers. Values are from Table.,FALSE,FALSE,FALSE,TRUE,10658,5810,4260,TEST
207,5501,5380326,Tumor necrosis factor alpha,Vitamin D supplementation,Control,continuous,,40,,40,752.94,1890.16,548.33,1210.9,,FALSE,TRUE,FALSE,TRUE,10658,5810,4260,TEST
208,2913,5459456,inflexion-extension for the C2-C6 segments,ACVC-HA - artificial cervical vertebra and intervertebral complex (ACVC) with an HA biocoating or ACVC,control,continuous,,8,,8,6.3,1.1,6.5,0.9,,FALSE,TRUE,FALSE,TRUE,13404,7477,5693,TEST
209,2913,5459456,inflexion-extension for the C2-C4 segments,ACVC-HA - artificial cervical vertebra and intervertebral complex (ACVC) with an HA biocoating or ACVC,control,continuous,,8,,8,4,0.3,4,0.6,,FALSE,TRUE,FALSE,TRUE,13404,7477,5693,TEST
210,2913,5459456,inflexion-extension for the C4-C5 segments,ACVC-HA - artificial cervical vertebra and intervertebral complex (ACVC) with an HA biocoating or ACVC,control,continuous,,8,,8,1.4,0.3,1.3,0.2,,FALSE,TRUE,FALSE,TRUE,13404,7477,5693,TEST
211,2913,5459456,inflexion-extension for the C5-C6 segments,ACVC-HA - artificial cervical vertebra and intervertebral complex (ACVC) with an HA biocoating or ACVC,control,continuous,,8,,8,1.4,0.1,1.4,0.2,,FALSE,TRUE,FALSE,TRUE,13404,7477,5693,TEST
212,2913,5459456,lateral bending for the C2-C6 segments,ACVC-HA - artificial cervical vertebra and intervertebral complex (ACVC) with an HA biocoating or ACVC,control,continuous,,8,,8,9.2,0.9,9.6,1.1,,FALSE,TRUE,FALSE,TRUE,13404,7477,5693,TEST
213,2913,5459456,lateral bending for the C2-C4 segments,ACVC-HA - artificial cervical vertebra and intervertebral complex (ACVC) with an HA biocoating or ACVC,control,continuous,,8,,8,5.8,0.5,5.9,0.7,,FALSE,TRUE,FALSE,TRUE,13404,7477,5693,TEST
214,2913,5459456,lateral bending for the C4-C5 segments,ACVC-HA - artificial cervical vertebra and intervertebral complex (ACVC) with an HA biocoating or ACVC,control,continuous,,8,,8,2,0.4,1.8,0.2,,FALSE,TRUE,FALSE,TRUE,13404,7477,5693,TEST
215,2913,5459456,lateral bending for the C5-C6 segments,ACVC-HA - artificial cervical vertebra and intervertebral complex (ACVC) with an HA biocoating or ACVC,control,continuous,,8,,8,2.2,0.4,2,0.3,,FALSE,TRUE,FALSE,TRUE,13404,7477,5693,TEST
216,2915,5459456,new bone formation around the screws and bone-implant contact (BIC) in both sections,ACVC-HA - artificial cervical vertebra and intervertebral complex (ACVC) with an HA biocoating,ACVC,continuous,,8,,8,,,,,,TRUE,FALSE,FALSE,FALSE,13404,7477,5693,TEST
217,2912,5459456,surgery time,ACVC-HA - artificial cervical vertebra and intervertebral complex (ACVC) with an HA biocoating or ACVC,anterior cervical corpectomy and fusion (ACCF),continuous,,8,,8,67,16,65,13,,FALSE,TRUE,FALSE,TRUE,13404,7477,5693,TEST
218,2912,5459456,blood loss,ACVC-HA - artificial cervical vertebra and intervertebral complex (ACVC) with an HA biocoating or ACVC,anterior cervical corpectomy and fusion (ACCF),continuous,,8,,8,56,19,51,20,,FALSE,TRUE,FALSE,TRUE,13404,7477,5693,TEST
219,2912,5459456,recovery time,ACVC-HA - artificial cervical vertebra and intervertebral complex (ACVC) with an HA biocoating or ACVC,anterior cervical corpectomy and fusion (ACCF),continuous,,8,,8,4.1,2,3.5,1.4,,FALSE,TRUE,FALSE,TRUE,13404,7477,5693,TEST
220,2912,5459456,time before eating,ACVC-HA - artificial cervical vertebra and intervertebral complex (ACVC) with an HA biocoating or ACVC,anterior cervical corpectomy and fusion (ACCF),continuous,,8,,8,4.5,2.2,3.9,2.3,,FALSE,TRUE,FALSE,TRUE,13404,7477,5693,TEST
221,2914,5459456,Flexion-Extension stiffness of C2-4,ACVC-HA - artificial cervical vertebra and intervertebral complex (ACVC) with an HA biocoating or ACVC,anterior cervical corpectomy and fusion (ACCF),continuous,,8,,8,0.34,0.12,7.47,1.45,"Data is from after fatigue test. Original outcome was just ""The stiffness"".",FALSE,TRUE,FALSE,TRUE,13404,7477,5693,TEST
222,2914,5459456,Lateral bending stiffness of C2-4,ACVC-HA - artificial cervical vertebra and intervertebral complex (ACVC) with an HA biocoating or ACVC,anterior cervical corpectomy and fusion (ACCF),continuous,,8,,8,0.05,0.02,2.67,0.68,"Data is from after fatigue test. Original outcome was just ""The stiffness"".",FALSE,TRUE,FALSE,TRUE,13404,7477,5693,TEST
223,2914,5459456,Rotation stiffness of C2-4,ACVC-HA - artificial cervical vertebra and intervertebral complex (ACVC) with an HA biocoating or ACVC,anterior cervical corpectomy and fusion (ACCF),continuous,,8,,8,0.02,0,1.62,0.47,"Data is from after fatigue test. Original outcome was just ""The stiffness"".",FALSE,TRUE,FALSE,TRUE,13404,7477,5693,TEST
224,3486,5498715,Scores of external regulation,Motivational interviewing through self-determination theory sessions,Standard education session,continuous,,35,,35,0.3,0.79,0.38,0.98,,FALSE,TRUE,FALSE,TRUE,11299,5431,3973,DEV
225,3486,5498715,Scores of amotivation,Motivational interviewing through self-determination theory sessions,Standard education session,continuous,,35,,35,0.33,1.06,0.7,1.24,,FALSE,TRUE,FALSE,TRUE,11299,5431,3973,DEV
226,3487,5498715,Body mass index,Motivational interviewing through self-determination theory sessions,Standard education session,continuous,,35,,35,25.78,3.3,26.53,3.53,,FALSE,TRUE,FALSE,TRUE,11299,5431,3973,DEV
227,3484,5498715,Sedentary behavior,Motivational interviewing through self-determination theory sessions,Standard education session,continuous,,35,,35,5.28,2.34,5.75,2.34,,FALSE,TRUE,FALSE,TRUE,11299,5431,3973,DEV
228,3484,5498715,agility test,Motivational interviewing through self-determination theory sessions,Standard education session,continuous,,35,,35,13.21,1.44,13.8,1.14,Data from followup.,FALSE,TRUE,FALSE,TRUE,11299,5431,3973,DEV
229,3483,5498715,Physical activity,Motivational interviewing through self-determination theory sessions,Standard education session,continuous,,35,,35,487.33,111.47,453.57,60.87,,FALSE,TRUE,FALSE,TRUE,11299,5431,3973,DEV
230,3483,5498715,physical fitness - flexibility,Motivational interviewing through self-determination theory sessions,Standard education session,continuous,,35,,35,35.53,5.87,26.83,5.47,"Original outcome was ""physical fitness""",FALSE,TRUE,FALSE,TRUE,11299,5431,3973,DEV
231,3483,5498715,physical fitness - muscular endurance,Motivational interviewing through self-determination theory sessions,Standard education session,continuous,,35,,35,17.83,2.7,12.48,2.9,"Original outcome was ""physical fitness""",FALSE,TRUE,FALSE,TRUE,11299,5431,3973,DEV
232,3483,5498715,physical fitness - agility,Motivational interviewing through self-determination theory sessions,Standard education session,continuous,,35,,35,13.21,1.44,13.8,1.14,"Original outcome was ""physical fitness""",FALSE,TRUE,FALSE,TRUE,11299,5431,3973,DEV
233,3483,5498715,physical fitness - cardiorespiratory endurance,Motivational interviewing through self-determination theory sessions,Standard education session,continuous,,35,,35,39.1,2.76,37.99,2.14,"Original outcome was ""physical fitness""",FALSE,TRUE,FALSE,TRUE,11299,5431,3973,DEV
234,3485,5498715,Scores of intrinsic motivation,Motivational interviewing through self-determination theory sessions,Standard education session,continuous,,35,,35,10.8,2,4.9,1.88,,FALSE,TRUE,FALSE,TRUE,11299,5431,3973,DEV
235,3485,5498715,Scores of perception of competence,Motivational interviewing through self-determination theory sessions,Standard education session,continuous,,35,,35,13.6,3.05,14.71,3.87,,FALSE,TRUE,FALSE,TRUE,11299,5431,3973,DEV
236,3485,5498715,Scores of perception of autonomy,Motivational interviewing through self-determination theory sessions,Standard education session,continuous,,35,,35,26.6,4.43,19.89,4.56,,FALSE,TRUE,FALSE,TRUE,11299,5431,3973,DEV
237,3485,5498715,Scores of enjoyment,Motivational interviewing through self-determination theory sessions,Standard education session,continuous,,35,,35,27.3,6.77,26,4.68,,FALSE,TRUE,FALSE,TRUE,11299,5431,3973,DEV
238,3485,5498715,Scores of health care climate,Motivational interviewing through self-determination theory sessions,Standard education session,continuous,,35,,35,80.5,9.97,69.89,1.59,,FALSE,TRUE,FALSE,TRUE,11299,5431,3973,DEV
